,CensusTract,SurfaceArea,LotArea,FootPrint,Neighborhood
294,2002500,1373985.986,776854,407071.7033,Mott Haven-Port Morris
295,2002701,877836.8768,527127,189715.1078,Mott Haven-Port Morris
296,2002702,1674949.611,937093,586334.2001,Mott Haven-Port Morris
297,2002800,4715453.731,1850527,516664.3952,Soundview-Castle Hill-Clason Point-Harding Park
298,2003100,1680016.284,700135,517351.1654,Mott Haven-Port Morris
299,2003300,1639977.74,818024,454139.8966,Mott Haven-Port Morris
300,2003500,1525330.728,930107,566990.8332,Mott Haven-Port Morris
301,2003700,1787327.102,1551204,45827.20925,Mott Haven-Port Morris
302,2003800,682166.2097,405320,160584.2244,Soundview-Castle Hill-Clason Point-Harding Park
303,2003900,2323222.876,1403292,730839.351,Mott Haven-Port Morris
304,2004001,1325276.216,863039,327182.6157,Soundview-Bruckner
305,2004100,1977775.759,1271460,501104.9545,Mott Haven-Port Morris
306,2004200,5212170.03,3688276,859409.2641,Soundview-Castle Hill-Clason Point-Harding Park
307,2004300,2442986.143,1470839,826393.219,Mott Haven-Port Morris
308,2004400,2884624.058,1867168,380011.9599,Soundview-Bruckner
309,2004600,1432044.172,924264,281727.5826,Soundview-Castle Hill-Clason Point-Harding Park
310,2004800,1568167.534,697883,368018.0566,Soundview-Bruckner
311,2005001,1053604.119,722703,410381.9701,Soundview-Bruckner
312,2005002,1226231.224,812519,550894.8489,Soundview-Bruckner
313,2005100,5509135.198,2678920,1356479.695,Mott Haven-Port Morris
314,2005200,2009765.317,1136706,661352.0791,Soundview-Bruckner
315,2005300,907656.9644,856800,84681.69958,University Heights-Morris Heights
316,2005400,2133456.994,1339577,806267.0727,West Farms-Bronx River
317,2005600,1511686.224,923910,399508.1649,West Farms-Bronx River
318,2005902,766665.3416,402101,251886.2011,East Concourse-Concourse Village
319,2006000,3413566.898,630986,370657.7901,Crotona Park East
320,2006100,2605984.696,1691641,666807.4551,East Concourse-Concourse Village
321,2006200,2035610.937,1237681,445382.2998,West Farms-Bronx River
322,2006300,11410337.4,5095327,2814232.582,West Concourse
323,2006400,1838840.264,998761,483506.7129,West Farms-Bronx River
324,2006500,2812249.041,1792052,1137606.498,Melrose South-Mott Haven North
325,2006700,2277490.193,1414820,646560.2467,Melrose South-Mott Haven North
326,2006800,1692236.92,968310,411593.9649,Soundview-Bruckner
327,2006900,2029126.117,1315289,550345.7977,Melrose South-Mott Haven North
328,2007000,2207823.454,1453165,699093.9022,Soundview-Bruckner
329,2007100,2843661.987,1303898,702565.836,Melrose South-Mott Haven North
330,2007200,2292782.565,1365532,677608.7252,Soundview-Bruckner
331,2007300,1507593.101,922321,441808.0476,Melrose South-Mott Haven North
332,2007400,2012633.677,1434410,387775.6216,Soundview-Castle Hill-Clason Point-Harding Park
333,2007500,2458741.054,1393563,623053.0295,Melrose South-Mott Haven North
334,2007600,2339929.445,1417842,765169.9735,West Farms-Bronx River
335,2007700,1214306.238,759153,398910.9309,Melrose South-Mott Haven North
336,2007800,3326684.157,1943465,915447.2348,Westchester-Unionport
337,2007900,2126625.733,1232439,518937.7004,Melrose South-Mott Haven North
338,2008300,2303687.972,1388798,822489.9758,Longwood
339,2008400,1674998.517,1074138,383373.2508,Soundview-Castle Hill-Clason Point-Harding Park
340,2008500,1966131.66,1201594,742893.1416,Longwood
341,2008600,2019879.658,1472413,293710.8854,Soundview-Castle Hill-Clason Point-Harding Park
342,2008700,2302753.017,1347400,599858.7641,Longwood
343,2008900,1174411.473,640213,404586.5347,Hunts Point
344,2009000,11115829.34,5776049,2167327.474,Soundview-Castle Hill-Clason Point-Harding Park
345,2009200,3278193.626,1788642,898777.7746,Westchester-Unionport
346,2009300,25297302.36,11632383,6354284.842,Hunts Point
347,2009600,7359513.906,4629748,2185614.595,Westchester-Unionport
348,2009800,5559622.228,3001176,1053444.241,Westchester-Unionport
349,2011000,21931215.09,7339481,134654.2455,Schuylerville-Throgs Neck-Edgewater Park
350,2011502,3720925.131,1519158,967609.7824,Hunts Point
351,2011700,14905907.65,8406952,2197379.539,Hunts Point
353,2011900,1794111.264,1120544,610202.2124,Hunts Point
354,2012101,1251776.337,720923,414802.4141,Morrisania-Melrose
355,2012102,556269.4111,285030,211409.6223,Hunts Point
