,ZipCode,LandArea,LotArea,BldgArea,AllZoning1,AssessLand,BBL
32600,10014,14151051.86,1349.0,4192.0,M1-5                       ,69958.0,1006270010.0
32601,10014,14151051.86,1480.0,3935.0,M1-5                       ,93710.0,1006270011.0
32602,10014,14151051.86,1422.0,3712.0,M1-5                       ,69106.0,1006270012.0
32603,10014,14151051.86,3212.0,13010.0,C1-6                       ,360000.0,1006270013.0
32604,10014,14151051.86,1300.0,3110.0,C1-6                       ,47408.0,1006270014.0
32605,10014,14151051.86,936.0,2704.0,C1-6                       ,59210.0,1006270017.0
32606,10014,14151051.86,936.0,1984.0,C1-6                       ,43744.0,1006270018.0
32607,10014,14151051.86,936.0,2480.0,C1-6                       ,55584.0,1006270019.0
32608,10014,14151051.86,936.0,2480.0,R6                         ,47890.0,1006270020.0
32609,10014,14151051.86,1530.0,4998.0,R6                         ,134806.0,1006270021.0
32610,10014,14151051.86,1000.0,2480.0,R6                         ,70059.0,1006270022.0
32611,10014,14151051.86,49130.0,400.0,PARK                       ,6030000.0,1006270025.0
32612,10014,14151051.86,18177.0,181550.0,C1-6                       ,3825000.0,1006270043.0
32613,10014,14151051.86,2402.0,6631.0,C1-6                       ,141841.0,1006277501.0
32614,10014,14151051.86,1000.0,2972.0,R6                         ,105337.0,1006277502.0
32615,10014,14151051.86,1150.0,3749.0,R6                         ,17246.0,1006277503.0
32616,10014,14151051.86,7727.0,39068.0,M1-5                       ,715500.0,1006280001.0
32617,10014,14151051.86,18625.0,0.0,M1-5                       ,2547000.0,1006280004.0
32618,10014,14151051.86,16077.0,50962.0,C1-6                       ,1125000.0,1006280017.0
32619,10014,14151051.86,5860.0,29300.0,M1-5                       ,1170000.0,1006290001.0
32620,10014,14151051.86,2581.0,9800.0,C6-2A                      ,169200.0,1006290012.0
32621,10014,14151051.86,5165.0,25100.0,C6-2A                      ,441000.0,1006290013.0
32622,10014,14151051.86,3098.0,6656.0,C6-2A                      ,382500.0,1006290017.0
32623,10014,14151051.86,10000.0,9330.0,C6-2A                      ,1471500.0,1006290018.0
32624,10014,14151051.86,2581.0,5000.0,C6-2A                      ,385650.0,1006290021.0
32625,10014,14151051.86,2581.0,6555.0,C6-2A                      ,382050.0,1006290022.0
32626,10014,14151051.86,2581.0,7000.0,C6-2A                      ,97054.0,1006290023.0
32627,10014,14151051.86,2581.0,8750.0,C6-2A                      ,580500.0,1006290024.0
32628,10014,14151051.86,2581.0,8250.0,C6-2A                      ,80896.0,1006290025.0
32629,10014,14151051.86,2581.0,7875.0,C6-2A                      ,147891.0,1006290026.0
32630,10014,14151051.86,2516.0,7425.0,C6-2A                      ,232200.0,1006290027.0
32631,10014,14151051.86,2516.0,15750.0,C6-2A                      ,544500.0,1006290028.0
32632,10014,14151051.86,8772.0,38376.0,C6-2A                      ,1458000.0,1006290029.0
32633,10014,14151051.86,2575.0,10300.0,C6-2A                      ,317243.0,1006290038.0
32634,10014,14151051.86,2575.0,9760.0,C1-6                       ,206087.0,1006290039.0
32635,10014,14151051.86,2575.0,10055.0,C1-6                       ,270000.0,1006290040.0
32636,10014,14151051.86,2583.0,10105.0,C1-6                       ,270000.0,1006290041.0
32637,10014,14151051.86,1806.0,6220.0,C1-6                       ,486000.0,1006290042.0
32638,10014,14151051.86,792.0,2343.0,C1-6                       ,90000.0,1006290043.0
32639,10014,14151051.86,14517.0,56508.0,C1-6                       ,2385000.0,1006290044.0
32640,10014,14151051.86,3097.0,8885.0,C1-6                       ,283050.0,1006290051.0
32641,10014,14151051.86,10575.0,38387.0,C1-6                       ,1134000.0,1006290055.0
32642,10014,14151051.86,4646.0,24171.0,C1-6                       ,773995.0,1006297501.0
32643,10014,14151051.86,7372.0,39080.0,C6-2A                      ,1210500.0,1006297502.0
32644,10014,14151051.86,18509.0,126277.0,C1-6                       ,3687750.0,1006297503.0
32645,10014,14151051.86,7746.0,33668.0,C6-2A                      ,1201499.0,1006297504.0
32646,10014,14151051.86,2581.0,12592.0,C1-6                       ,146823.0,1006297505.0
32647,10014,14151051.86,2581.0,7243.0,C1-6                       ,198318.0,1006297506.0
32648,10014,14151051.86,1455.0,6965.0,R6                         ,310050.0,1006300001.0
32649,10014,14151051.86,980.0,2599.0,R6                         ,17611.0,1006300002.0
32650,10014,14151051.86,1035.0,3400.0,R6                         ,45781.0,1006300003.0
32651,10014,14151051.86,1062.0,3264.0,R6                         ,40307.0,1006300004.0
32652,10014,14151051.86,1635.0,5268.0,R6                         ,249300.0,1006300005.0
32653,10014,14151051.86,1982.0,7955.0,R6                         ,141710.0,1006300006.0
32654,10014,14151051.86,2225.0,10230.0,R6                         ,216900.0,1006300007.0
32655,10014,14151051.86,3365.0,21000.0,R6                         ,381600.0,1006300009.0
32656,10014,14151051.86,14581.0,25092.0,R6                         ,1350000.0,1006300012.0
32657,10014,14151051.86,6787.0,24365.0,R6                         ,1800000.0,1006300021.0
32658,10014,14151051.86,2675.0,4875.0,R6                         ,161267.0,1006300024.0
32659,10014,14151051.86,7897.0,7757.0,R6                         ,954000.0,1006300026.0
32660,10014,14151051.86,1120.0,3240.0,R6                         ,40382.0,1006300029.0
32661,10014,14151051.86,1410.0,5952.0,R6                         ,237476.0,1006300030.0
32662,10014,14151051.86,219.0,0.0,R6                         ,3150.0,1006300031.0
32663,10014,14151051.86,711.0,2844.0,R6                         ,78538.0,1006300034.0
32664,10014,14151051.86,685.0,2408.0,R6                         ,51469.0,1006300035.0
32665,10014,14151051.86,776.0,2800.0,R6                         ,64408.0,1006300037.0
32666,10014,14151051.86,2880.0,9984.0,R6                         ,361557.0,1006300038.0
32667,10014,14151051.86,720.0,2440.0,R6                         ,53582.0,1006300039.0
32668,10014,14151051.86,926.0,3084.0,R6                         ,60139.0,1006300040.0
32669,10014,14151051.86,11609.0,40320.0,C1-6                       ,967500.0,1006300043.0
32670,10014,14151051.86,2775.0,5570.0,C1-6                       ,549000.0,1006300048.0
32671,10014,14151051.86,1510.0,4176.0,C1-6                       ,54959.0,1006300050.0
32672,10014,14151051.86,2225.0,8240.0,R6                         ,191025.0,1006300051.0
32673,10014,14151051.86,0.0,0.0,R6                         ,0.0,1006300052.0
32674,10014,14151051.86,1292.0,4800.0,R6                         ,162059.0,1006300130.0
32675,10014,14151051.86,740.0,2588.0,R6                         ,58804.0,1006300135.0
32676,10014,14151051.86,0.0,0.0,R6                         ,0.0,1006300137.0
32677,10014,14151051.86,811.0,2794.0,R6                         ,52194.0,1006300139.0
32678,10014,14151051.86,1178.0,2312.0,R6                         ,47368.0,1006300140.0
32679,10014,14151051.86,1802.0,8234.0,R6                         ,135864.0,1006307501.0
32680,10014,14151051.86,3955.0,19348.0,C1-6                       ,589501.0,1006307502.0
32681,10014,14151051.86,0.0,0.0,R6                         ,0.0,1006308140.0
32682,10014,14151051.86,13031.0,137589.0,C1-7                       ,3136500.0,1006310001.0
32683,10014,14151051.86,4667.0,8914.0,C1-6A                      ,124573.0,1006310013.0
32684,10014,14151051.86,567.0,2250.0,C1-6A                      ,24425.0,1006310015.0
32685,10014,14151051.86,735.0,4472.0,C1-6A                      ,19970.0,1006310016.0
32686,10014,14151051.86,1675.0,8051.0,C1-6A                      ,331650.0,1006310017.0
32687,10014,14151051.86,1525.0,6155.0,C1-6A                      ,87039.0,1006310018.0
32688,10014,14151051.86,1707.0,1703.0,C1-6A                      ,58375.0,1006310024.0
32689,10014,14151051.86,882.0,2832.0,C1-6A                      ,38149.0,1006310025.0
32690,10014,14151051.86,2619.0,7657.0,C1-6A                      ,144530.0,1006310026.0
32691,10014,14151051.86,2781.0,7668.0,C1-7                       ,257400.0,1006310027.0
32692,10014,14151051.86,6710.0,51200.0,R6                         ,1611000.0,1006310030.0
32693,10014,14151051.86,2375.0,0.0,R6                         ,191250.0,1006310033.0
32694,10014,14151051.86,2250.0,4400.0,R6                         ,96225.0,1006310034.0
32695,10014,14151051.86,7155.0,9599.0,R6                         ,224550.0,1006310037.0
32696,10014,14151051.86,1525.0,6624.0,C1-6                       ,150324.0,1006310038.0
32697,10014,14151051.86,1324.0,2609.0,C1-6                       ,174647.0,1006310039.0
32698,10014,14151051.86,1522.0,4014.0,C1-6                       ,432000.0,1006310041.0
32699,10014,14151051.86,2700.0,8307.0,C1-6                       ,114559.0,1006310042.0
32700,10014,14151051.86,12399.0,39285.0,C1-6                       ,1624500.0,1006310046.0
32701,10014,14151051.86,984.0,3650.0,C1-6                       ,153100.0,1006310140.0
32702,10014,14151051.86,11700.0,59563.0,C1-6A                      ,679500.0,1006317501.0
32703,10014,14151051.86,14158.0,78648.0,C1-6A                      ,3541532.0,1006317502.0
32704,10014,14151051.86,2217.0,0.0,C1-6A                      ,898200.0,1006320001.0
32705,10014,14151051.86,5773.0,2838.0,C1-6A                      ,73966.0,1006320003.0
32706,10014,14151051.86,1539.0,2838.0,C1-6A                      ,33136.0,1006320004.0
32707,10014,14151051.86,2126.0,2838.0,C1-6A                      ,145704.0,1006320005.0
32708,10014,14151051.86,8099.0,14628.0,C1-6A                      ,356350.0,1006320006.0
32709,10014,14151051.86,18207.0,141000.0,C1-6A                      ,1701000.0,1006320017.0
32710,10014,14151051.86,2502.0,8291.0,C1-6A                      ,562069.0,1006320029.0
32711,10014,14151051.86,1525.0,3374.0,C1-6A                      ,40523.0,1006320030.0
32712,10014,14151051.86,7355.0,34504.0,C1-6A                      ,1660500.0,1006320031.0
32713,10014,14151051.86,2500.0,2580.0,C1-6A                      ,450000.0,1006320034.0
32714,10014,14151051.86,4868.0,958.0,R6                         ,47264.0,1006320036.0
32715,10014,14151051.86,4550.0,25746.0,R6                         ,450000.0,1006320039.0
32716,10014,14151051.86,10000.0,23398.0,R6                         ,774000.0,1006320045.0
32717,10014,14151051.86,2251.0,11900.0,C1-6                       ,164250.0,1006320048.0
32718,10014,14151051.86,840.0,3116.0,C1-6                       ,51839.0,1006320052.0
32719,10014,14151051.86,5115.0,20273.0,C1-6                       ,468000.0,1006320055.0
32720,10014,14151051.86,2391.0,9515.0,C1-6                       ,270000.0,1006320056.0
32721,10014,14151051.86,1380.0,5700.0,C1-6                       ,222750.0,1006320057.0
32722,10014,14151051.86,995.0,1250.0,C1-6                       ,45933.0,1006320059.0
32723,10014,14151051.86,1576.0,4328.0,C1-6                       ,209748.0,1006320149.0
32724,10014,14151051.86,1364.0,3344.0,C1-6                       ,65780.0,1006320151.0
32725,10014,14151051.86,1458.0,3955.0,C1-6                       ,11250.0,1006327501.0
32726,10014,14151051.86,6138.0,25064.0,C1-6A                      ,246692.0,1006327502.0
32727,10014,14151051.86,8183.0,41875.0,C1-6A                      ,2186999.0,1006327503.0
32728,10014,14151051.86,8180.0,25281.0,C1-6A                      ,499500.0,1006330006.0
32729,10014,14151051.86,4933.0,18965.0,R6                         ,585000.0,1006330008.0
32730,10014,14151051.86,5121.0,24840.0,R6                         ,450000.0,1006330010.0
32731,10014,14151051.86,2541.0,4751.0,R6                         ,313877.0,1006330012.0
32732,10014,14151051.86,4820.0,19260.0,R6                         ,810000.0,1006330013.0
32733,10014,14151051.86,2703.0,15960.0,R6                         ,558000.0,1006330015.0
32734,10014,14151051.86,1260.0,3380.0,R6                         ,43627.0,1006330017.0
32735,10014,14151051.86,1400.0,3200.0,R6                         ,26597.0,1006330018.0
32736,10014,14151051.86,956.0,4020.0,R6                         ,90294.0,1006330019.0
32737,10014,14151051.86,10000.0,39628.0,C1-6A                      ,936000.0,1006330024.0
32738,10014,14151051.86,2454.0,11622.0,C1-6A                      ,331200.0,1006330027.0
32739,10014,14151051.86,4750.0,32000.0,C1-6A                      ,625500.0,1006330028.0
