,BoroCT2010,LotArea,FP,CT_Land,Bldg/Land,Lot/Land,Bldg/Lot
200,1019400,1202383.0,536037.825099,1881141.41354,28.5,63.92,44.58
201,1019500,3687339.0,621027.334806,2338368.97805,26.56,157.69,16.84
202,1019600,1009993.0,664325.9674,1902090.81861,34.93,53.1,65.78
203,1019701,2004403.0,272162.206227,2540523.6394,10.71,78.9,13.58
204,1019702,317364.0,179712.624942,509562.31902,35.27,62.28,56.63
205,1019800,1620802.0,519606.221211,2431074.16976,21.37,66.67,32.06
206,1019900,949485.0,680100.386181,2406472.69737,28.26,39.46,71.63
207,1020000,810318.0,585144.882795,1391141.17595,42.06,58.25,72.21
208,1020101,363012.0,306947.520351,593473.679564,51.72,61.17,84.56
209,1020102,509739.0,352115.310756,897067.902897,39.25,56.82,69.08
210,1020300,1439937.0,697492.526801,1916590.00457,36.39,75.13,48.44
211,1020500,3600284.0,510011.688133,2977096.20297,17.13,120.93,14.17
212,1020600,846231.0,550110.332933,1602693.80227,34.32,52.8,65.01
213,1020701,306206.0,209635.064682,508697.481157,41.21,60.19,68.46
214,1020800,1000845.0,591082.909051,1599291.86723,36.96,62.58,59.06
215,1020901,776282.0,328525.374833,1246712.43968,26.35,62.27,42.32
216,1021000,1035049.0,264465.370372,2157287.86383,12.26,47.98,25.55
217,1021100,4350056.0,754384.269063,3738242.92545,20.18,116.37,17.34
218,1021200,1280445.0,658227.722656,1900292.29558,34.64,67.38,51.41
219,1021303,1035499.0,694176.008813,1650328.22328,42.06,62.75,67.04
220,1021400,1003585.0,316620.738894,1460341.27882,21.68,68.72,31.55
221,1021500,404377.0,249672.798833,750499.537053,33.27,53.88,61.74
222,1021600,1055474.0,719781.448706,1864443.44629,38.61,56.61,68.2
223,1021703,2491992.0,755402.40001,3377609.42677,22.37,73.78,30.31
224,1021800,1103120.0,735163.975969,1958525.80481,37.54,56.32,66.64
225,1021900,1428714.0,725223.743033,3004767.71739,24.14,47.55,50.76
226,1022000,1159516.0,760643.331368,1882647.53283,40.4,61.59,65.6
227,1022102,544341.0,366154.208518,1065533.57021,34.36,51.09,67.27
228,1022200,1133971.0,870368.163447,1953119.68878,44.56,58.06,76.75
229,1022301,1171789.0,1719469.07472,1972647.89802,87.17,59.4,146.74
230,1022302,576662.0,216685.375029,641724.259673,33.77,89.86,37.58
231,1022400,1115917.0,599247.361422,2099457.91144,28.54,53.15,53.7
232,1022500,991885.0,1826460.09242,2960365.53193,61.7,33.51,184.14
233,1022600,929895.0,586665.678303,1642680.57782,35.71,56.61,63.09
234,1022700,998164.0,662449.314568,1621656.29959,40.85,61.55,66.37
235,1022800,1160424.0,739011.271695,1944083.40176,38.01,59.69,63.68
236,1022900,1389110.0,624365.832867,2186915.9039,28.55,63.52,44.95
237,1023000,1123206.0,675521.619183,1869850.52805,36.13,60.07,60.14
238,1023100,1506100.0,642436.388988,1962710.70506,32.73,76.74,42.66
239,1023200,1149946.0,693803.78653,1943146.28398,35.71,59.18,60.33
240,1023300,1780509.0,602884.170796,2535522.34399,23.78,70.22,33.86
241,1023400,731791.0,495983.300649,1164816.98101,42.58,62.82,67.78
242,1023501,1421892.0,561975.791966,1929059.38953,29.13,73.71,39.52
243,1023502,236222.0,169982.357456,447807.635626,37.96,52.75,71.96
244,1023600,1711113.0,672028.654593,2828013.83803,23.76,60.51,39.27
245,1023700,1519465.0,588088.750109,2897558.15657,20.3,52.44,38.7
246,1023801,5284555.0,1237513.78293,3606885.28289,34.31,146.51,23.42
247,1023802,4721863.0,899705.287481,2699017.05405,33.33,174.95,19.05
248,1023900,397710.0,202629.614418,687269.036218,29.48,57.87,50.95
249,1024000,25664590.0,1562505.54219,23466537.5624,6.66,109.37,6.09
250,1024100,972588.0,639966.652971,1874161.11073,34.15,51.89,65.8
251,1024200,1204671.0,664663.32317,3735142.84052,17.79,32.25,55.17
252,1024301,646925.0,371564.524829,1131945.00498,32.83,57.15,57.44
253,1024302,1511932.0,251037.486807,2272412.31975,11.05,66.53,16.6
254,1024500,1362301.0,944494.330281,2282409.82339,41.38,59.69,69.33
255,1024700,1069861.0,639166.67258,2736091.26924,23.36,39.1,59.74
256,1024900,336260.0,169046.404076,652856.308287,25.89,51.51,50.27
257,1025100,943016.0,673021.735759,1715989.09463,39.22,54.95,71.37
258,1025300,1066006.0,766969.693113,1822960.36207,42.07,58.48,71.95
259,1025500,1700972.0,992581.477842,4756105.97953,20.87,35.76,58.35
260,1025700,878782.0,637817.044382,1550590.20006,41.13,56.67,72.58
261,1025900,424279.0,304878.539975,812329.673652,37.53,52.23,71.86
262,1026100,908299.0,651735.681986,1681539.12174,38.76,54.02,71.75
263,1026300,912435.0,716033.113778,1691892.01342,42.32,53.93,78.47
264,1026500,841065.0,636640.40636,2068027.66415,30.78,40.67,75.69
265,1026700,328319.0,196154.306975,518771.594333,37.81,63.29,59.75
266,1026900,1045186.0,779871.84125,1889655.62123,41.27,55.31,74.62
267,1027100,1242076.0,851133.608353,2076588.58429,40.99,59.81,68.53
268,1027300,1253008.0,666796.792526,1903506.22995,35.03,65.83,53.22
269,1027500,2452774.0,249946.235775,2946540.96606,8.48,83.24,10.19
270,1027700,1164483.0,575038.668606,1760155.84136,32.67,66.16,49.38
271,1027900,1175487.0,714483.642509,1940050.62819,36.83,60.59,60.78
272,1028100,3340862.0,287164.006412,977139.403048,29.39,341.9,8.6
273,1028300,1085114.0,505843.436374,1623888.60271,31.15,66.82,46.62
274,1028500,826202.0,543548.389045,1314114.37658,41.36,62.87,65.79
275,1028700,5506077.0,581633.215342,5710876.56923,10.18,96.41,10.56
276,1029100,1279075.0,810401.758444,2018145.03476,40.16,63.38,63.36
277,1029300,1025263.0,686516.641454,1690644.7008,40.61,60.64,66.96
278,1029500,922136.0,580429.640448,1460098.43677,39.75,63.16,62.94
279,1029700,12557200.0,209508.925305,9961849.11884,2.1,126.05,1.67
280,1029900,2531879.0,1642943.14133,6687564.17556,24.57,37.86,64.89
281,1030300,656878.0,451266.696956,1685782.38139,26.77,38.97,68.7
282,1030700,538931.0,328802.852364,908014.729849,36.21,59.35,61.01
283,1030900,3216049.0,1192504.44664,3282243.12217,36.33,97.98,37.08
284,1031100,5539050.0,37813.1557474,7795233.95899,0.49,71.06,0.68
285,1031703,3504375.0,836926.362277,2571696.4343,32.54,136.27,23.88
286,1031704,4338851.0,600745.62306,2352286.24138,25.54,184.45,13.85
287,1031900,945425.0,40707.4851031,1080130.34144,3.77,87.53,4.31
288,2000100,17825000.0,3627904.49173,18154596.1687,19.98,98.18,20.35
289,2000200,2419552.0,1020494.84277,5050182.71191,20.21,47.91,42.18
290,2000400,7379435.0,1172054.65972,8551573.02668,13.71,86.29,15.88
291,2001600,2919642.0,862223.424742,5221332.29582,16.51,55.92,29.53
292,2001900,11273800.0,4017346.00807,17964480.9591,22.36,62.76,35.63
293,2002000,2989330.0,937612.710534,4270706.7064,21.95,70.0,31.37
294,2002300,821949.0,176529.575061,1126747.39186,15.67,72.95,21.48
295,2002400,4862000.0,6682.40264458,7679184.41526,0.09,63.31,0.14
296,2002500,782821.0,409666.219555,1373985.98595,29.82,56.97,52.33
297,2002701,544627.0,194137.32025,877836.876769,22.12,62.04,35.65
298,2002702,958075.0,596029.1256,1674949.6113,35.58,57.2,62.21
299,2002800,1969542.0,614726.727794,4715453.73064,13.04,41.77,31.21
300,2003100,742872.0,601563.264862,1680016.28445,35.81,44.22,80.98
