,CensusTract,LotArea,FootPrint,FloorSpace,AssessLand,SurfaceArea,Neighborhood,land-lot,lot-fp,s,p,f,l,r
220,1021500,391072.0,240326.284181,1763854.0,11104572.0,750499.537053,Central Harlem North-Polo Grounds,359427.537053,150745.715819,2.3502,0.3202,7.3394,0.5211,0.6145
221,1021600,1045582.0,713126.399587,3963895.0,35895152.0,1864443.44629,Central Harlem South,818861.44629,332455.600413,2.126,0.3825,5.5585,0.5608,0.682
222,1021703,2448968.0,733007.344443,2841448.0,53671050.0,3377609.42677,Manhattanville,928641.42677,1715960.65556,0.8413,0.217,3.8764,0.7251,0.2993
223,1021800,1099084.0,730507.054111,3840513.0,25280842.0,1958525.80481,Central Harlem South,859441.80481,368576.945889,1.9609,0.373,5.2573,0.5612,0.6647
224,1021900,1393742.0,706999.475039,3491791.0,24809485.0,3004767.71739,Manhattanville,1611025.71739,686742.524961,1.1621,0.2353,4.9389,0.4638,0.5073
225,1022000,1152350.0,756398.694142,3268467.0,20276975.0,1882647.53283,Central Harlem South,730297.53283,395951.305858,1.7361,0.4018,4.3211,0.6121,0.6564
226,1022102,544341.0,366154.208518,1572542.0,10203769.0,1065533.57021,Central Harlem North-Polo Grounds,521192.57021,178186.791482,1.4758,0.3436,4.2948,0.5109,0.6727
227,1022200,1129682.0,867303.587228,3891147.0,45394796.0,1953119.68878,Central Harlem South,823437.68878,262378.412772,1.9923,0.4441,4.4865,0.5784,0.7677
228,1022301,1171789.0,543824.108381,2680823.0,19834801.0,1972647.89802,Manhattanville,800858.89802,627964.891619,1.359,0.2757,4.9296,0.594,0.4641
229,1022302,576662.0,216685.375029,681968.0,9966600.0,641724.259673,Manhattanville,65062.259673,359976.624971,1.0627,0.3377,3.1473,0.8986,0.3758
230,1022400,1107091.0,592901.735245,2864741.0,19836885.0,2099457.91144,Central Harlem North-Polo Grounds,992366.91144,514189.264755,1.3645,0.2824,4.8317,0.5273,0.5355
