,CensusTract,LotArea,FootPrint,FloorSpace,SurfaceArea,ct_density,dist_from_esb,Neighborhood,floorarea_sqft,s,p,f,l,r
107,1011202,459873.0,400609.252842,7709289.0,839525.781464,10.0814188044,1811.5272255,Midtown-Midtown South,8463611,9.1829,0.4772,19.2439,0.5478,0.8711
108,1011203,456668.0,397144.393182,6132156.0,854082.515426,7.19176179006,1851.6496441,Turtle Bay-East Midtown,6142358,7.1798,0.465,15.4406,0.5347,0.8697
109,1011300,1109732.0,1044210.71604,18372918.0,1890907.33104,9.81085624635,435.455682284,Midtown-Midtown South,18551420,9.7165,0.5522,17.595,0.5869,0.941
110,1011401,575322.0,484283.070806,5509706.0,1060696.30244,5.19442368878,2063.20063099,Upper East Side-Carnegie Hill,5509706,5.1944,0.4566,11.377,0.5424,0.8418
111,1011402,664144.0,535937.180017,5414750.0,1063547.40503,5.09121640878,2097.69836834,Upper East Side-Carnegie Hill,5414750,5.0912,0.5039,10.1033,0.6245,0.807
112,1011500,815190.0,747999.085067,6891763.0,1889825.65239,3.646771855,861.122348622,Clinton,6891763,3.6468,0.3958,9.2136,0.4314,0.9176
113,1011600,1275386.0,907025.45993,7130436.0,2117484.29199,3.71392743254,2712.63007385,Lenox Hill-Roosevelt Island,7864183,3.3674,0.4284,7.8613,0.6023,0.7112
114,1011700,2050566.0,1340185.04344,7277993.0,2136884.28051,1.80739688865,1376.34929112,Hudson Yards-Chelsea-Flatiron-Union Square,3862198,3.4059,0.6272,5.4306,0.9596,0.6536
115,1011800,1155136.0,808038.735483,8459103.0,1903276.09728,4.44843657318,2556.46012506,Lenox Hill-Roosevelt Island,8466603,4.4445,0.4246,10.4687,0.6069,0.6995
116,1011900,1072860.0,1018019.46126,14326600.0,1911310.5219,7.44274247277,727.75952678,Midtown-Midtown South,14225392,7.4957,0.5326,14.073,0.5613,0.9489
117,1012000,1136248.0,881065.920499,7128261.0,1862415.44246,3.83180188335,2410.36050482,Upper East Side-Carnegie Hill,7136407,3.8274,0.4731,8.0905,0.6101,0.7754
118,1012100,1173946.0,916133.479899,6390518.0,1919460.65715,3.35493826144,1039.9689035,Clinton,6439672,3.3293,0.4773,6.9755,0.6116,0.7804
119,1012200,1122180.0,912342.150433,7653030.0,1857829.53105,4.18428379465,2379.89241222,Upper East Side-Carnegie Hill,7773686,4.1193,0.4911,8.3883,0.604,0.813
120,1012400,953170.0,763970.396741,8100378.0,1847564.26452,4.76478473256,3077.20709929,Lenox Hill-Roosevelt Island,8803246,4.3844,0.4135,10.603,0.5159,0.8015
121,1012500,1118716.0,934374.295538,14852002.0,1875481.62066,7.92899745654,1039.56990638,Midtown-Midtown South,14870689,7.919,0.4982,15.8951,0.5965,0.8352
122,1012600,1276428.0,936853.445666,8890705.0,1976487.48125,4.56557761463,2940.65782571,Lenox Hill-Roosevelt Island,9023807,4.4982,0.474,9.49,0.6458,0.734
123,1012700,1178974.0,882117.612076,6190059.0,1871751.38333,3.32337620017,1278.77763674,Clinton,6220534,3.3071,0.4713,7.0173,0.6299,0.7482
124,1012800,1166207.0,889031.39394,8564643.0,1924402.65723,4.47263776511,2960.62694205,Upper East Side-Carnegie Hill,8607156,4.4505,0.462,9.6337,0.606,0.7623
125,1012900,2571004.0,1479344.33119,9103010.0,4355081.72078,2.30812683767,1495.21796213,Clinton,10052081,2.0902,0.3397,6.1534,0.5903,0.5754
126,1013000,1150408.0,908967.654161,8338299.0,1918144.49944,4.34706509464,2935.38442638,Upper East Side-Carnegie Hill,8338299,4.3471,0.4739,9.1734,0.5998,0.7901
127,1013100,1032159.0,875960.667007,17069629.0,1874645.4961,9.10552370329,1352.40085219,Midtown-Midtown South,17069629,9.1055,0.4673,19.4868,0.5506,0.8487
128,1013200,1184844.0,773083.532643,6278236.0,2148206.13502,2.96793584939,3463.87365311,Lenox Hill-Roosevelt Island,6375738,2.9225,0.3599,8.121,0.5516,0.6525
129,1013300,1224891.0,925796.514448,5070459.0,1876725.7388,2.70193715318,1542.84522604,Clinton,5070795,2.7018,0.4933,5.4769,0.6527,0.7558
130,1013400,1274173.0,921435.104146,7510787.0,1956780.7626,3.84792979567,3342.92108119,Lenox Hill-Roosevelt Island,7529555,3.8383,0.4709,8.1512,0.6512,0.7232
131,1013500,1950382.0,1360875.88004,9740730.0,4513475.18656,2.43290647364,1879.97617229,Clinton,10980863,2.1581,0.3015,7.1577,0.4321,0.6977
132,1013600,1436028.0,1031032.10057,10576433.0,2358422.79807,4.4887002486,3852.26185606,Yorkville,10586253,4.4845,0.4372,10.2581,0.6089,0.718
133,1013700,1365864.0,1147125.66165,16508921.0,2435167.66935,7.19616115989,1665.83444405,Midtown-Midtown South,17523859,6.7794,0.4711,14.3916,0.5609,0.8399
134,1013800,1275671.0,932854.25705,7720351.0,1959555.68567,3.95855553212,3743.64302561,Yorkville,7757010,3.9398,0.4761,8.2761,0.651,0.7313
135,1013900,1270230.0,995120.307881,8873450.0,1955059.85243,4.538710152,1824.23045198,Clinton,8873450,4.5387,0.509,8.917,0.6497,0.7834
136,1014000,1182111.0,884803.74346,7698352.0,1925984.22252,4.08439586785,3531.50986538,Upper East Side-Carnegie Hill,7866482,3.9971,0.4594,8.7006,0.6138,0.7485
137,1014200,1171341.0,886026.825333,7811983.0,1927688.28305,4.0525136085,3510.47014068,Upper East Side-Carnegie Hill,7811983,4.0525,0.4596,8.8169,0.6076,0.7564
138,1014401,513817.0,339895.486665,3504925.0,800310.56642,4.38553749915,4244.30340583,Yorkville,3509792,4.3795,0.4247,10.3118,0.642,0.6615
139,1014402,1393735.0,544619.836714,4458112.0,1886948.27811,2.35862956692,4385.88422572,Yorkville,4450612,2.3626,0.2886,8.1857,0.7386,0.3908
140,1014500,1101533.0,854875.953168,10048751.0,1897994.08995,5.49277210883,2127.77738163,Lincoln Square,10425249,5.2944,0.4504,11.7546,0.5804,0.7761
141,1014601,500999.0,408377.202641,2808132.0,799879.808768,3.58460479758,4145.97039007,Yorkville,2867253,3.5107,0.5105,6.8763,0.6263,0.8151
142,1014602,753490.0,545608.532701,5137124.0,1175338.62237,4.37076081924,4311.00843744,Yorkville,5137124,4.3708,0.4642,9.4154,0.6411,0.7241
143,1014700,462238.0,351656.819361,3247900.0,703936.349311,4.61391147535,2383.79724847,Lincoln Square,3247900,4.6139,0.4996,9.236,0.6566,0.7608
144,1014801,336977.0,257166.0388,2916329.0,559216.157816,5.21502992937,4104.64704317,Upper East Side-Carnegie Hill,2916329,5.215,0.4599,11.3403,0.6026,0.7632
145,1014802,828345.0,663441.841243,5829209.0,1351365.00485,4.31357107745,4271.30071179,Upper East Side-Carnegie Hill,5829209,4.3136,0.4909,8.7863,0.613,0.8009
146,1014900,1221302.0,784319.568176,6340265.0,1880349.86996,4.06076024573,2427.21404826,Lincoln Square,7635650,3.3719,0.4171,8.0838,0.6495,0.6422
147,1015001,331035.0,259951.907357,2826748.0,556354.416814,5.1804297996,4088.329144,Upper East Side-Carnegie Hill,2882155,5.0808,0.4672,10.8741,0.595,0.7853
148,1015002,814025.0,593274.283117,7035532.0,1352593.38437,5.21915904778,4253.10188546,Upper East Side-Carnegie Hill,7059400,5.2015,0.4386,11.8588,0.6018,0.7288
149,1015100,1439642.0,870603.334175,8253541.0,3579761.10442,2.60338629539,2546.68593103,Lincoln Square,9319501,2.3056,0.2432,9.4803,0.4022,0.6047
150,1015200,1240371.0,482825.312689,4323430.0,1913189.43076,2.25980236483,4642.38128483,Yorkville,4323430,2.2598,0.2524,8.9544,0.6483,0.3893
