BoroCT2010,LotArea,FP
3024700,1219101.0,801554.643917
3024800,1192506.0,763149.698163
3024900,1190491.0,667242.009872
3025000,1085225.0,653607.798602
3025100,985942.0,461112.772989
3025200,1274849.0,762702.36384
3025300,1124711.0,475580.695421
3025400,1147574.0,640326.340409
3025500,1102100.0,227750.077304
3025600,1229779.0,643195.815607
3025700,1052761.0,617656.491443
3025800,1259916.0,759198.497344
3025901,536079.0,291208.787042
3025902,521950.0,92226.8257468
3026000,1196622.0,690898.675192
3026100,1373867.0,736156.150862
3026200,1051616.0,501685.319914
3026300,847903.0,252940.505204
3026400,1337873.0,785219.983138
3026500,1084702.0,600107.9495
3026600,1223116.0,732738.760563
3026700,1125021.0,612879.367297
3026800,1243344.0,747593.255822
3026900,923769.0,504586.147839
3027000,982185.0,512755.163163
3027100,1636915.0,736952.568318
3027200,968432.0,536575.965047
3027300,1165970.0,498589.016638
3027400,1187132.0,631707.00881
3027500,1157398.0,668540.706417
3027600,1062553.0,637364.848518
3027700,1168726.0,520571.575239
3027800,1108519.0,614616.229795
3027900,1139753.0,560995.10015
3028000,899513.0,493929.978011
3028100,1092550.0,529123.034033
3028200,1049021.0,498613.115669
3028300,819101.0,375228.026101
3028400,1200188.0,658627.007974
3028501,651462.0,316576.970518
3028502,1000100.0,169253.310507
3028600,1160784.0,551973.397843
3028700,899792.0,480132.562203
3028800,1105295.0,639050.553849
3028900,1085850.0,515865.348749
3029000,1107492.0,610578.287493
3029100,1193023.0,601994.032913
3029200,1413861.0,410283.010785
3029300,1086828.0,578918.233868
3029400,2017053.0,534530.474402
3029500,1194938.0,636674.229541
3029600,1514915.0,821809.568055
3029700,1449443.0,675884.559505
3029800,1472950.0,775614.729043
3029900,931124.0,406198.618141
3030000,1304256.0,657189.586903
3030100,1165608.0,603183.61116
